experiment_group,experiment_name,cv_mean_f1_macro,cv_std_f1_macro,train_f1_macro,val_f1_macro,train_time_sec,eval_time_sec
NaN,Drop NaN,0.7919214414278131,0.001406165347289793,0.8661244294875207,0.9140846246350454,29.163998353998977,0.01350917399940954
Class weight,With balanced class weight,0.7919214414278131,0.001406165347289793,0.8661244294875207,0.9140846246350454,28.85659172799933,0.013414196999292471
Preprocessing,With unigrams and bigrams,0.8779134976614765,0.002192732167194218,0.956813039403968,0.9760624642451392,54.892298998000115,0.030709544000274036
Models,Linear SVM (+TF-IDF),0.9392835142604566,0.0007597114735056304,0.9787072080838661,0.9878043861399503,7.6928086199986865,0.032324570000128006
